CustomerID,Recommendations
0,"[[2, 1.0], [3, 1.0], [5, 1.0]]"
1,"[[4, 1.0], [6, 1.0], [8, 0.967]]"
2,"[[0, 1.0], [3, 1.0], [5, 1.0]]"
3,"[[0, 1.0], [2, 1.0], [5, 1.0]]"
4,"[[1, 1.0], [6, 1.0], [8, 0.967]]"
5,"[[0, 1.0], [2, 1.0], [3, 1.0]]"
6,"[[1, 1.0], [4, 1.0], [8, 0.967]]"
7,"[[1, -0.2552], [4, -0.2552], [6, -0.2552]]"
8,"[[9, 1.0], [13, 1.0], [16, 1.0]]"
9,"[[8, 1.0], [13, 1.0], [16, 1.0]]"
10,"[[0, 1.0], [2, 1.0], [3, 1.0]]"
11,"[[0, 1.0], [2, 1.0], [3, 1.0]]"
12,"[[0, 1.0], [2, 1.0], [3, 1.0]]"
13,"[[8, 1.0], [9, 1.0], [16, 1.0]]"
14,"[[15, 1.0], [17, 1.0], [19, 1.0]]"
15,"[[14, 1.0], [17, 1.0], [19, 1.0]]"
16,"[[8, 1.0], [9, 1.0], [13, 1.0]]"
17,"[[14, 1.0], [15, 1.0], [19, 1.0]]"
18,"[[8, 1.0], [9, 1.0], [13, 1.0]]"
19,"[[14, 1.0], [15, 1.0], [17, 1.0]]"
